Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
147A|BEC0AA0|147A|4500061524|00481||D3409501|SL82|1.000|ST||26/07/2023|0030268174|02030|10|YTPL
147A|BEC0AA0|147A|4500061524|00491||D3409701|SL82|1.000|ST||26/07/2023|0030268174|02040|10|YTPL
147A|BEC0AA0|147A|4500061524|00511||D3479301|SL82|1.000|ST||26/07/2023|0030268174|02050|10|YTPL
147A|BEC0AA0|147A|4500061524|00531||D3478801|SL82|1.000|ST||26/07/2023|0030268174|02060|10|YTPL
147A|BEC0AA0|147A|4500061524|00541||D3408701|SL82|1.000|ST||26/07/2023|0030268174|02070|10|YTPL
147A|BEC0AA0|147A|4500061524|00621||D3221503|SL82|1.000|ST||26/07/2023|0030268174|02080|10|YTPL
147A|BEC0AA0|147A|4500061524|00661||D3221602|SL82|1.000|ST||26/07/2023|0030268174|02090|10|YTPL
147A|BEC0AA0|147A|4500061524|00671||D3535702|SL82|1.000|ST||26/07/2023|0030268174|02100|10|YTPL
147A|BEC0AA0|147A|4500061524|00691||D3535902|SL82|1.000|ST||26/07/2023|0030268174|02110|10|YTPL
147A|BEC0AA0|147A|4500061524|00711||D3591201|SL82|1.000|ST||26/07/2023|0030268174|02120|10|YTPL
147A|BEC0AA0|147A|4500061524|00721||D3591300|SL82|1.000|ST||26/07/2023|0030268174|02130|10|YTPL
147A|BEC0AA0|147A|4500061524|00731||D3591400|SL82|1.000|ST||26/07/2023|0030268174|02140|10|YTPL
147A|BEC0AA0|147A|4500061524|00741||D3591501|SL82|1.000|ST||26/07/2023|0030268174|02150|10|YTPL
147A|BEC0AA0|147A|4500061524|00751||D3591600|SL82|1.000|ST||26/07/2023|0030268174|02160|10|YTPL
147A|BEC0AA0|147A|4500061524|00781||D3591901|SL82|1.000|ST||26/07/2023|0030268174|02170|10|YTPL
147A|BEC0AA0|147A|4500061524|00791||D3592000|SL82|1.000|ST||26/07/2023|0030268174|02180|10|YTPL
147A|BEC0AA0|147A|4500061524|00801||D3592101|SL82|1.000|ST||26/07/2023|0030268174|02190|10|YTPL
147A|BEC0AA0|147A|4500061524|00811||D3592200|SL82|1.000|ST||26/07/2023|0030268174|02200|10|YTPL
147A|BEC0AA0|147A|4500061524|00821||D3592301|SL82|1.000|ST||26/07/2023|0030268174|02210|10|YTPL
147A|BEC0AA0|147A|4500061524|00881||D3795200|SL82|1.000|ST||26/07/2023|0030268174|02220|10|YTPL
147A|BEC0AA0|147A|4500061524|00891||D3794200|SL82|1.000|ST||26/07/2023|0030268174|02230|10|YTPL
147A|BEC0AA0|147A|4500061524|00901||D3794300|SL82|1.000|ST||26/07/2023|0030268174|02240|10|YTPL
147A|BEC0AA0|147A|4500061524|00911||D3794400|SL82|1.000|ST||26/07/2023|0030268174|02250|10|YTPL
147A|BEC0AA0|147A|4500061524|00921||D3794500|SL82|1.000|ST||26/07/2023|0030268174|02260|10|YTPL
147A|BEC0AA0|147A|4500061524|00961||D3737801|SL82|1.000|ST||26/07/2023|0030268174|02270|10|YTPL
147A|BEC0AA0|147A|4500061524|00971||D3737702|SL82|1.000|ST||26/07/2023|0030268174|02280|10|YTPL
147A|BEC0AA0|147A|4500061524|00981||D3737602|SL82|1.000|ST||26/07/2023|0030268174|02290|10|YTPL
147A|BEC0AA0|147A|4500061524|00991||D3737503|SL82|1.000|ST||26/07/2023|0030268174|02300|10|YTPL
147A|BEC0AA0|147A|4500061524|01001||D3737402|SL82|1.000|ST||26/07/2023|0030268174|02310|10|YTPL
147A|BEC0AA0|147A|4500061524|01021||D3737000|SL82|1.000|ST||26/07/2023|0030268174|02320|10|YTPL
147A|BEC0AA0|147A|4500061524|01031||D3736901|SL82|1.000|ST||26/07/2023|0030268174|02330|10|YTPL
147A|BEC0AA0|147A|4500061524|01041||D3736801|SL82|1.000|ST||26/07/2023|0030268174|02340|10|YTPL
147A|BEC0AA0|147A|4500061524|01051||D3736502|SL82|1.000|ST||26/07/2023|0030268174|02350|10|YTPL
147A|BEC0AA0|147A|4500061524|01061||D3736401|SL82|1.000|ST||26/07/2023|0030268174|02360|10|YTPL
